perturbation,centered_pearson,rmse
BARHL1,-0.269768513266898,0.06908618694295736
BARHL2,-0.31303931720758493,0.11020194076034598
BARX1,-0.3954643975007321,0.12858832401022136
BARX2,-0.27940095382414226,0.09008474197839553
BATF2,-0.47810908009800346,0.15434409728348972
BATF3,-0.22765501689475864,0.07767942906074057
BATF,-0.3342491283144043,0.0932224861902731
BAZ1B,-0.31151794354197127,0.12032558887224712
BAZ2A,-0.15113569126054766,0.09498673888589278
BAZ2B,-0.3378863395446496,0.09779762300172762
BBX,-0.518991630833964,0.1436358031387854
BCL11A,-0.3796239117118731,0.12165008515629798
BCL11B,-0.43376092292265067,0.14846885799305468
BCL3,-0.226870328329199,0.08417984141264842
BCL6B,-0.3318789328169926,0.11513255197677237
BCL6,-0.22429807229844162,0.09117877472128673
BCLAF1,-0.33183752569065333,0.09889713543643029
BDP1,-0.3660901419772318,0.10237285483857861
BHLHA15,-0.44504122758971926,0.09519917869516537
BHLHA9,-0.255715277512944,0.10066925894866208
BHLHE22,-0.326216341132838,0.1146700745234947
BHLHE23,-0.21808735530735388,0.08221752299055661
BHLHE40,-0.34973438536542406,0.11891153300295
BHLHE41,-0.3358824525131087,0.09743855358983974
BID,-0.7231743882478183,0.32594595965285117
BLZF1,-0.2955218851299899,0.08308698183534943
BNC1,-0.4048239492571469,0.10987396558916
BNC2,-0.3585741543622302,0.09776026713896804
BNIP3,-0.42825711638388025,0.08735514040079975
BORCS8-MEF2B,-0.24957806157948773,0.1018171621352389
BPTF,-0.17658180508356883,0.08142906562759719
BRCA1,-0.33671947242407074,0.1197060943585764
BRIP1,-0.3170447050480449,0.10137731464039207
BRPF1,-0.31125526709317114,0.1041655350544666
BSX,-0.4693106229459672,0.1244541898331374
BTAF1,-0.24540930229653682,0.09943937098778054
CAMTA1,-0.20723303242667132,0.08815124952794387
CAMTA2,-0.2244481774643189,0.09123646094375114
CAPN15,-0.15350907729072447,0.05583554287706127
CARF,-0.2385005021588061,0.1043048372280801
CARHSP1,-0.20527165918402476,0.08295587449677833
CASZ1,-0.38367455782294924,0.12729681761842476
CBFB,-0.3316093710374729,0.09111448225931702
CBX2,-0.36594588855190363,0.07297842005336443
